no.,english,spanish,italian
1,ice cream,helado,gelato
2,coffee,café,caffè
3,please,por favor,per favore
4,tea,té,tè
5,thankyou,thankyou,grazie
6,yes,sí,sì
7,to turn,girar,viro
8,train,tren,treno
9,station,estación,stazione
10,to visit,visitar,visitare
11,to drink,beber,bere
12,when,cuando,quando
13,to sing,cantar,cantare
14,to dance,bailar,ballare
15,to study,estudiar,studio
16,to live,vivir,vivi
17,one,uno,una
18,shirt,camisa,camicia
19,small,pequeño,piccolo
20,tall,alto,alto
21,new,nuevo,nuovo
23,house,casa,casa
24,fish,pescado,pesce
25,chicken,pollo,pollo
26,salad,ensalada,insalata
27,menu,menú,menù
28,friend,amigo,amico
29,restaurant,restaurant,ristorante
30,with,con,con
31,no,no,no
32,milk,leche,latte
33,sugar,azucar,zucchero
34,sky,cielo,cielo
35,isn't it,verdad,vero
36,mother,madre,madri
37,father,padre,padre
38,moon,luna,luna
39,here,aquí,qui
40,bank,banco,banca
